column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12
A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,2012/1/5 10:00,2012,1,5,10,49,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 13:00,2012,1,5,13,50,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 14:00,2012,1,5,14,50,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 15:00,2012,1,5,15,59,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 16:00,2012,1,5,16,60,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 17:00,2012,1,5,17,71,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 18:00,2012,1,5,18,84,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 19:00,2012,1,5,19,72,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 20:00,2012,1,5,20,64,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 21:00,2012,1,5,21,50,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 22:00,2012,1,5,22,48,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/5 23:00,2012,1,5,23,45,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 00:00,2012,1,6,0,49,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 01:00,2012,1,6,1,52,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 02:00,2012,1,6,2,53,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 03:00,2012,1,6,3,50,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 04:00,2012,1,6,4,57,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 05:00,2012,1,6,5,56,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 06:00,2012,1,6,6,56,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 07:00,2012,1,6,7,58,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 08:00,2012,1,6,8,43,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 09:00,2012,1,6,9,42,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 10:00,2012,1,6,10,41,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 11:00,2012,1,6,11,34,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 12:00,2012,1,6,12,43,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 13:00,2012,1,6,13,42,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/6 14:00,2012,1,6,14,31,"电/m尝,1 Hr""",Valid,
